WaveYear,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Team ID,Gender,Age,Degree Status,Formal Education,Experience_1,Experience_2,Experience_3,Differing abilities_1,Differing abilities_2,Differing abilities_3,CD-1,CD-2,CD-3,CD-4,OC-1,OC-2,OC-3,OC-4,OC-5,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5
10,1/20/2025 6:59,1/20/2025 7:03,0,216.79.19.19,100,250,1,1/20/2025 7:03,R_1C1FHUPWFXwl4Ca,,,,,41.8483,-87.6517,anonymous,EN,1,5,2,1,3,1,1,5,1,2,1,2,4,6,4,2,4,4,5,4,3,1,1,1,1,1
10,1/20/2025 7:00,1/20/2025 7:13,0,216.79.19.88,100,783,1,1/20/2025 7:13,R_3CDfKDKDh1Yu9Uw,,,,,41.8483,-87.6517,anonymous,EN,1,11,1,1,1,3,5,4,7,4,1,4,5,4,3,3,4,4,4,2,1,4,1,1,1,2
10,1/20/2025 7:46,1/20/2025 7:53,0,129.21.255.77,100,411,1,1/20/2025 7:53,R_1MyUvemc0rYWdyP,,,,,43.0801,-77.6342,anonymous,EN,1,8,2,1,3,2,3,4,1,1,1,1,3,4,2,2,5,4,4,4,4,1,2,1,1,1
10,1/20/2025 7:52,1/20/2025 8:04,0,129.21.255.79,100,715,1,1/20/2025 8:04,R_7IZ46mu1JAuyGsh,,,,,43.0801,-77.6342,anonymous,EN,1,8,2,2,3,2,4,3,1,5,2,5,3,4,4,4,5,5,5,5,5,1,1,1,1,1
10,1/20/2025 8:18,1/20/2025 8:31,0,129.21.255.108,100,820,1,1/20/2025 8:31,R_67jrl62hHhu907D,,,,,43.0801,-77.6342,anonymous,EN,1,10,2,1,3,4,7,6,2,1,1,1,5,4,3,4,5,5,5,5,5,4,4,5,5,5
10,1/20/2025 9:26,1/20/2025 9:29,0,129.21.255.107,100,124,1,1/20/2025 9:29,R_1qdAZ7Gu7S5nkhl,,,,,43.0801,-77.6342,anonymous,EN,1,4,2,1,4,4,5,5,1,4,1,4,5,4,7,5,5,5,4,1,3,1,1,1,1,1
10,1/20/2025 9:26,1/20/2025 9:29,0,129.21.255.103,100,159,1,1/20/2025 9:29,R_5H6UUh65hSrfnWo,,,,,43.0801,-77.6342,anonymous,EN,1,4,2,1,3,4,6,2,2,1,1,1,4,3,5,3,5,5,5,4,3,1,1,3,4,5
10,1/20/2025 9:27,1/20/2025 9:30,0,104.28.103.33,100,173,1,1/20/2025 9:30,R_5rvCXXRDQwdac37,,,,,41.6692,-83.5519,anonymous,EN,1,4,2,1,1,2,5,5,1,1,1,1,4,4,4,5,5,4,4,4,4,3,3,3,3,3
10,1/20/2025 10:01,1/20/2025 10:02,0,169.197.140.144,100,53,1,1/20/2025 10:02,R_1cH4MlOzK9j3Tfr,,,,,25.7701,-80.1928,anonymous,EN,3,,,,,,,,,,,,,,,,,,,,,,,,,
10,1/20/2025 10:03,1/20/2025 10:09,0,129.21.255.77,100,399,1,1/20/2025 10:09,R_1B0eUEVDs5Ak0tb,,,,,43.0801,-77.6342,anonymous,EN,1,1,2,1,4,4,7,7,3,2,1,1,5,5,4,3,4,5,4,3,4,1,2,4,3,3
10,1/20/2025 12:03,1/20/2025 12:03,0,129.21.255.103,100,23,1,1/20/2025 12:03,R_12s8phTQxta8FwG,,,,,43.0801,-77.6342,anonymous,EN,3,,,,,,,,,,,,,,,,,,,,,,,,,
10,1/20/2025 9:28,1/20/2025 12:05,0,129.21.255.101,100,9429,1,1/20/2025 12:05,R_7GEJIPSKs5MrueJ,,,,,43.0801,-77.6342,anonymous,EN,1,4,2,1,4,4,5,7,2,1,1,1,4,3,4,4,5,5,5,5,4,1,1,1,1,1
10,1/20/2025 12:03,1/20/2025 12:06,0,104.28.55.230,100,206,1,1/20/2025 12:06,R_3LuMMwZY8i808S1,,,,,40.7809,-73.9502,anonymous,EN,1,5,2,1,3,4,5,5,3,3,3,1,4,5,5,4,4,4,4,3,3,2,2,3,3,5
10,1/20/2025 12:08,1/20/2025 12:11,0,104.28.235.38,100,207,1,1/20/2025 12:11,R_1PXD5upCcdsMG9r,,,,,43.1567,-77.6107,anonymous,EN,1,6,2,1,3,4,3,5,1,2,1,1,4,5,2,1,4,4,5,4,5,1,3,4,5,4
10,1/20/2025 12:04,1/20/2025 12:12,0,129.21.255.85,100,450,1,1/20/2025 12:12,R_5uDKMjwxJSTAsef,,,,,43.0801,-77.6342,anonymous,EN,1,1,2,1,3,1,1,2,1,1,1,1,4,5,2,2,5,5,5,5,5,3,3,3,3,3
10,1/20/2025 12:05,1/20/2025 12:15,0,104.28.55.229,100,571,1,1/20/2025 12:15,R_1qeOpcjYKwlBHXh,,,,,40.7263,-73.9818,anonymous,EN,1,1,1,1,1,1,1,4,1,1,1,1,3,4,4,4,4,4,5,5,5,1,1,1,2,2
10,1/21/2025 19:24,1/21/2025 19:28,0,104.222.18.161,100,243,1,1/21/2025 19:28,R_5ojag1v1ZYhEaGJ,,,,,29.6467,-82.3284,anonymous,EN,1,5,2,1,3,1,7,3,3,4,1,3,5,6,4,2,4,5,4,3,4,1,1,1,1,2
10,1/20/2025 6:30,1/20/2025 6:33,0,129.21.255.108,50,189,0,1/27/2025 6:33,R_7z6GbY06TlifWf2,,,,,43.0801,-77.6342,anonymous,EN,1,10,2,1,3,4,7,6,2,2,1,1,,,,,,,,,,,,,,
10,1/20/2025 6:30,1/20/2025 8:15,0,129.21.255.105,15,6315,0,1/27/2025 8:15,R_3lgzckL209urs1W,,,,,43.0801,-77.6342,anonymous,EN,1,5,,,,,,,,,,,,,,,,,,,,,,,,
10,1/20/2025 12:00,1/20/2025 12:02,0,129.21.255.94,50,101,0,1/27/2025 12:02,R_5DNNHuZFPaJQ1F1,,,,,43.0801,-77.6342,anonymous,EN,1,2,4,13,3,3,7,4,1,3,,,,,,,,,,,,,,,,
10,1/20/2025 12:04,1/20/2025 12:04,0,174.208.47.226,15,18,0,1/27/2025 12:04,R_5GPN9y4ZtuQpsDT,,,,,42.9767,-78.7959,anonymous,EN,1,7,,,,,,,,,,,,,,,,,,,,,,,,
10,1/20/2025 12:04,1/20/2025 12:05,0,216.79.19.134,10,22,0,1/27/2025 12:05,R_397aRjkTk0qFDhC,,,,,41.8483,-87.6517,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,
10,1/20/2025 12:04,1/20/2025 12:05,0,129.21.255.105,30,53,0,1/27/2025 12:05,R_1kELmE2Qw7tomVX,,,,,43.0801,-77.6342,anonymous,EN,1,10,2,1,3,,,,,,,,,,,,,,,,,,,,,
10,1/20/2025 12:04,1/20/2025 12:07,0,174.208.42.224,50,174,0,1/27/2025 12:07,R_7gHCoKUSglInBp0,,,,,43.1394,-77.6463,anonymous,EN,1,7,2,1,3,4,7,6,2,1,1,1,,,,,,,,,,,,,,
10,1/20/2025 12:08,1/20/2025 12:08,0,129.21.255.75,15,11,0,1/27/2025 12:08,R_7JYWqaHe3Peh1fP,,,,,43.0801,-77.6342,anonymous,EN,1,4,,,,,,,,,,,,,,,,,,,,,,,,
10,1/20/2025 12:11,1/20/2025 12:12,0,129.21.255.71,30,31,0,1/27/2025 12:12,R_5veRUnbhgUum1AB,,,,,43.0801,-77.6342,anonymous,EN,1,1,2,1,3,,,,,,,,,,,,,,,,,,,,,
10,1/28/2025 13:37,1/28/2025 13:39,0,172.56.198.95,100,116,1,1/28/2025 13:39,R_6awSxjNYy7y8kdc,,,,,42.415,-71.1061,anonymous,EN,1,6,4,13,5,3,4,4,4,3,,,,,,,,,,,,3,3,3,3,3
10,1/22/2025 7:49,1/22/2025 7:49,0,47.199.226.10,15,9,0,1/29/2025 7:49,R_1kwYVZQLcdIoEp3,,,,,28.0406,-82.3951,anonymous,EN,1,4,,,,,,,,,,,,,,,,,,,,,,,,
