StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Team ID,Gender,Age,Degree Status,Major,Formal Education,Experience_1,Experience_2,Experience_3,Differing abilities_1,Differing abilities_2,Differing abilities_3,CD-1,CD-2,CD-3,CD-4,OC-1,OC-2,OC-3,OC-4,OC-5
2023-01-15 11:31:36,2023-01-15 11:34:12,IP Address,129.21.255.107,100,156,True,2023-01-15 11:34:12,R_1ImItEIRMTBkiTI,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 1,Female,18-24,Undergraduate/Full Time,"Computer Science and Cyber Security ",3+ years,4,4,2,1,1,2,The members of my team differ in their way of thinking to a somewhat small extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2023-01-15 11:31:46,2023-01-15 11:34:17,IP Address,129.21.255.89,100,150,True,2023-01-15 11:34:17,R_1FtRjGl4iiBMb43,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 8,Male,18-24,Undergraduate/Part Time,,2 years,5,5,2,1,1,3,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a somewhat small extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Agree,Agree,Agree,Agree,Agree
2023-01-15 11:31:41,2023-01-15 11:34:21,IP Address,104.28.55.56,100,159,True,2023-01-15 11:34:21,R_1LB5WmmNl5zK3mg,,,,,43.1555,-77.6101,anonymous,EN,Yes,Team 15,Male,18-24,Undergraduate/Full Time,IT,0 years,5,5,1,2,2,2,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a somewhat large extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat large extent.,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
2023-01-15 11:31:54,2023-01-15 11:34:22,IP Address,129.21.255.103,100,147,True,2023-01-15 11:34:22,R_1rxGpqQUzUdYfPz,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 10,Male,18-24,Undergraduate/Full Time,"Computer Science: Cybersecurity ",2 years,1,5,2,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a small extent.,The members of my team differ in their beliefs about what is right and wrong to a very small extent.,Agree,Strongly Agree,Strongly Agree,Agree,Agree
2023-01-15 11:31:29,2023-01-15 11:34:26,IP Address,129.21.255.84,100,176,True,2023-01-15 11:34:26,R_1gzscTOCYgVaxdZ,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 12,Male,18-24,Undergraduate/Part Time,CIS,3+ years,3,4,1,2,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a small extent.,The members of my team differ in their beliefs about what is right and wrong to a very small extent.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2023-01-15 11:32:00,2023-01-15 11:34:39,IP Address,129.21.255.85,100,158,True,2023-01-15 11:34:40,R_3NRik6SxR2U8YLl,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 7,Male,25-29,Undergraduate/Full Time,,2 years,1,2,1,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Agree,Agree,Agree,Agree,Agree
2023-01-15 11:31:59,2023-01-15 11:34:41,IP Address,129.21.255.79,100,162,True,2023-01-15 11:34:42,R_NWL1sF8HOQC2MVz,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 9,Male,18-24,Undergraduate/Full Time,Math,0 years,6,6,6,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a somewhat small extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2023-01-15 11:32:02,2023-01-15 11:34:45,IP Address,129.21.255.103,100,162,True,2023-01-15 11:34:45,R_3iQl44nD7OjDQs2,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 9,Female,18-24,Undergraduate/Full Time,,0 years,1,3,1,1,1,5,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
2023-01-15 11:32:03,2023-01-15 11:34:46,IP Address,129.21.255.104,100,163,True,2023-01-15 11:34:47,R_27UxR64wjeF8f3H,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 11,Male,18-24,Undergraduate/Full Time,"Cyber Security ",3+ years,3,5,1,3,3,3,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a moderate extent.,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
2023-01-15 11:32:02,2023-01-15 11:34:48,IP Address,129.21.255.82,100,166,True,2023-01-15 11:34:48,R_27D8Q4uIiMzWH4L,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 9,Male,18-24,Undergraduate/Full Time,Computer Science,0 years,1,4,1,2,1,1,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skills to a large extent.,The members of my team differ in how they view the world to a somewhat large extent.,The members of my team differ in their beliefs about what is right and wrong to a moderate extent.,Strongly Agree,Strongly Agree,Agree,Agree,Agree
2023-01-15 11:31:52,2023-01-15 11:34:49,IP Address,174.208.49.82,100,176,True,2023-01-15 11:34:49,R_PU4Bo63hjMgs1S9,,,,,42.8861,-78.7457,anonymous,EN,Yes,Team 10,Male,18-24,Undergraduate/Full Time,Cybersecurity,3+ years,1,5,3,4,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a somewhat small extent.,The members of my team differ in their beliefs about what is right and wrong to a very small extent.,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
2023-01-15 11:32:57,2023-01-15 11:34:50,IP Address,37.19.221.179,100,112,True,2023-01-15 11:34:50,R_pt3lNYW9usrexlD,,,,,29.7646,-95.3657,anonymous,EN,Yes,Team 1,Male,18-24,Graduate/Part Time,cybersec,1 year,5,5,3,3,,,The members of my team differ in their way of thinking to a somewhat small extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Agree,Agree,Agree,Neither Agree nor Disagree,Agree
2023-01-15 11:31:24,2023-01-15 11:34:51,IP Address,129.21.255.104,100,207,True,2023-01-15 11:34:52,R_264lDRrWOTf7eRA,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 6,Male,18-24,Undergraduate/Full Time,"Networks and Information Security engineering ",0 years,7,4,2,4,1,1,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a very large extent.,The members of my team differ in their beliefs about what is right and wrong to a very large extent.,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Disagree
2023-01-15 11:31:35,2023-01-15 11:34:57,IP Address,104.28.57.56,100,202,True,2023-01-15 11:34:57,R_2zhw6px4kZH6VQS,,,,,43.1555,-77.6101,anonymous,EN,Yes,Team 2,Male,18-24,Graduate/Full Time,Cyber Security,3+ years,6,5,2,2,1,2,The members of my team differ in their way of thinking to a small extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a small extent.,The members of my team differ in their beliefs about what is right and wrong to a moderate extent.,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
2023-01-15 11:32:48,2023-01-15 11:34:58,IP Address,129.21.255.104,100,130,True,2023-01-15 11:34:58,R_1JUvh10fxHorHT0,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 13,Male,18-24,Undergraduate/Full Time,CS,0 years,3,7,2,4,1,1,The members of my team differ in their way of thinking to a large extent.,The members of my team differ in their knowledge and skills to a large extent.,The members of my team differ in how they view the world to a somewhat large extent.,The members of my team differ in their beliefs about what is right and wrong to a moderate extent.,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
2023-01-15 11:31:36,2023-01-15 11:34:58,IP Address,129.21.255.73,100,202,True,2023-01-15 11:34:58,R_2Ug3RgmD3l3iQ4L,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 8,Female,18-24,Undergraduate/Full Time,Computer Science,0 years,3,3,1,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a large extent.,The members of my team differ in how they view the world to a somewhat small extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2023-01-15 11:32:53,2023-01-15 11:35:02,IP Address,129.21.255.109,100,128,True,2023-01-15 11:35:03,R_3J8EsrbFVd6NADA,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 10,Male,18-24,Undergraduate/Full Time,Computer Science: Cybersecurity,2 years,3,5,1,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a very small extent.,The members of my team differ in their beliefs about what is right and wrong to a very small extent.,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree
2023-01-15 11:31:49,2023-01-15 11:35:03,IP Address,129.21.255.82,100,194,True,2023-01-15 11:35:04,R_1OMRBoBSob6USXE,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 7,Male,18-24,Undergraduate/Full Time,Cybersecurity,2 years,7,6,2,1,1,5,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a somewhat small extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Strongly Agree,Agree,Agree,Agree,Strongly Agree
2023-01-15 11:31:51,2023-01-15 11:35:04,IP Address,129.21.255.78,100,192,True,2023-01-15 11:35:05,R_1LpXO33QAYaqMG4,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 12,Male,18-24,Undergraduate/Full Time,Computer Information Systems,3+ years,3,6,2,2,1,1,The members of my team differ in their way of thinking to a large extent.,The members of my team differ in their knowledge and skills to a large extent.,The members of my team differ in how they view the world to a large extent.,The members of my team differ in their beliefs about what is right and wrong to a moderate extent.,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree
2023-01-15 11:32:04,2023-01-15 11:35:05,IP Address,129.21.255.85,100,181,True,2023-01-15 11:35:05,R_3sghib47c5h8xAX,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 9,Male,18-24,Undergraduate/Full Time,"Psychology ",0 years,1,1,1,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a large extent.,The members of my team differ in how they view the world to a small extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
2023-01-15 11:32:12,2023-01-15 11:35:08,IP Address,129.21.255.74,100,176,True,2023-01-15 11:35:09,R_25vgyhxb3hROPfQ,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 2,Male,18-24,Graduate/Full Time,"Cybersecurity ",1 year,6,6,2,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a moderate extent.,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
2023-01-15 11:32:40,2023-01-15 11:35:09,IP Address,166.194.188.30,100,148,True,2023-01-15 11:35:09,R_Y6x88bGTNRtoNax,,,,,42.723,-73.8177,anonymous,EN,Yes,Team 11,Male,18-24,Undergraduate/Full Time,Computer Science,1 year,2,4,2,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a somewhat small extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2023-01-15 11:32:04,2023-01-15 11:35:10,IP Address,107.77.226.195,100,185,True,2023-01-15 11:35:10,R_qUfRBdnohBoSUG5,,,,,40.8088,-73.9195,anonymous,EN,Yes,Team 11,Male,18-24,Undergraduate/Full Time,CS,3+ years,7,6,4,1,1,2,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2023-01-15 11:32:58,2023-01-15 11:35:16,IP Address,129.21.255.73,100,137,True,2023-01-15 11:35:16,R_2uKEupcbK3TuLDz,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 15,Male,18-24,Undergraduate/Full Time,,1 year,7,3,1,2,1,1,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skills to a large extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2023-01-15 11:32:06,2023-01-15 11:35:19,IP Address,129.21.125.24,100,192,True,2023-01-15 11:35:19,R_24jd2DbZwZuUMA1,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 2,Female,18-24,Undergraduate/Full Time,Computing Security,3+ years,6,5,1,1,1,1,The members of my team differ in their way of thinking to a somewhat small extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a somewhat small extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2023-01-15 11:31:32,2023-01-15 11:35:20,IP Address,174.208.40.124,100,228,True,2023-01-15 11:35:21,R_1DZjGEhxX9ReygX,,,,,42.8354,-78.7573,anonymous,EN,Yes,Team 15,Other/Prefer not to answer,18-24,Undergraduate/Full Time,Computer Science,2 years,5,5,1,5,5,5,The members of my team differ in their way of thinking to a very large extent.,The members of my team differ in their knowledge and skills to a very large extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2023-01-15 11:32:46,2023-01-15 11:35:21,IP Address,166.194.188.59,100,154,True,2023-01-15 11:35:21,R_2xKtfwJnDe1PhBe,,,,,42.723,-73.8177,anonymous,EN,Yes,Team 13,Male,18-24,Undergraduate/Full Time,Symbolic Systems,0 years,1,4,2,1,1,1,The members of my team differ in their way of thinking to a very large extent.,The members of my team differ in their knowledge and skills to a very large extent.,The members of my team differ in how they view the world to a somewhat small extent.,The members of my team differ in their beliefs about what is right and wrong to a moderate extent.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
2023-01-15 11:31:59,2023-01-15 11:35:24,IP Address,129.21.255.101,100,205,True,2023-01-15 11:35:25,R_3nUV8BK7gTFzlKr,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 14,Male,18-24,Graduate/Full Time,Cybersecurity,0 years,1,4,3,4,1,4,The members of my team differ in their way of thinking to a very large extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2023-01-15 11:32:07,2023-01-15 11:35:28,IP Address,129.21.255.76,100,201,True,2023-01-15 11:35:28,R_31Tc68QDPndYF3T,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 2,Male,18-24,Undergraduate/Full Time,CSEC,1 year,4,4,1,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a somewhat small extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
2023-01-15 11:32:09,2023-01-15 11:35:31,IP Address,166.194.188.56,100,201,True,2023-01-15 11:35:31,R_3MS7Y7h2ZMaY2n9,,,,,42.723,-73.8177,anonymous,EN,Yes,Team 11,Male,18-24,Undergraduate/Full Time,Computer Science,2 years,4,2,2,2,1,1,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2023-01-15 11:32:54,2023-01-15 11:35:31,IP Address,129.21.255.88,100,156,True,2023-01-15 11:35:32,R_6RHZMK0efZ467lv,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 5,Male,18-24,Undergraduate/Full Time,"Cybersecurity ",3+ years,5,4,2,1,1,1,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skills to a somewhat small extent.,The members of my team differ in how they view the world to a large extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree
